Site,Title,Company,Location,URL,Date
greenhouse,"Director, Production",Epic Games,"Montreal,Quebec,Canada",https://epicgames.com/careers/jobs/6092188004?gh_jid=6092188004,2026-06-17
greenhouse,"Director, Production",Epic Games,"Cary,North Carolina,United States",https://epicgames.com/careers/jobs/6013610004?gh_jid=6013610004,2026-06-15
greenhouse,Cinematics Director,Epic Games,"BLANK,BLANK,Multiple Locations",https://epicgames.com/careers/jobs/5993483004?gh_jid=5993483004,2026-06-08
greenhouse,Cinematics Director,Epic Games,"Cary,North Carolina,United States",https://epicgames.com/careers/jobs/5993481004?gh_jid=5993481004,2026-06-08
greenhouse,Character Outsource Lead,Epic Games,"BLANK,BLANK,Multiple Locations",https://epicgames.com/careers/jobs/6001545004?gh_jid=6001545004,2026-06-02
greenhouse,Character Outsource Lead,Epic Games,"Cary,North Carolina,United States",https://epicgames.com/careers/jobs/6001543004?gh_jid=6001543004,2026-06-02
greenhouse,Character Animation Lead,Epic Games,"BLANK,BLANK,Multiple Locations",https://epicgames.com/careers/jobs/5763803004?gh_jid=5763803004,2026-05-21
greenhouse,Character Animation Lead,Epic Games,"Cary,North Carolina,United States",https://epicgames.com/careers/jobs/5763801004?gh_jid=5763801004,2026-05-21
greenhouse,Data Science Lead,Epic Games,"Montreal,Quebec,Canada",https://epicgames.com/careers/jobs/5921260004?gh_jid=5921260004,2026-04-10
greenhouse,Data Science Lead,Epic Games,"BLANK,BLANK,Multiple Locations",https://epicgames.com/careers/jobs/5892152004?gh_jid=5892152004,2026-04-10
greenhouse,Data Science Lead,Epic Games,"Cary,North Carolina,United States",https://epicgames.com/careers/jobs/5892150004?gh_jid=5892150004,2026-04-10
greenhouse,"Design Director, Battle Pass",Epic Games,"Montreal,Quebec,Canada",https://epicgames.com/careers/jobs/5820698004?gh_jid=5820698004,2026-03-09
greenhouse,"Design Director, Battle Pass",Epic Games,"Cary,North Carolina,United States",https://epicgames.com/careers/jobs/5782935004?gh_jid=5782935004,2026-03-06
greenhouse,"Design Director, Battle Pass",Epic Games,"Vancouver,British Columbia,Canada",https://epicgames.com/careers/jobs/5820696004?gh_jid=5820696004,2026-03-06
greenhouse,"Design Director, Battle Pass",Epic Games,"BLANK,BLANK,Multiple Locations",https://epicgames.com/careers/jobs/5820694004?gh_jid=5820694004,2026-03-06
greenhouse,Customer Success Specialist,Unity Technologies,"Beijing, China",https://unity.com/careers/positions/7978685?gh_jid=7978685,2026-06-21
greenhouse,Credit & Collections Analyst,Unity Technologies,"Bengaluru, India",https://unity.com/careers/positions/7993528?gh_jid=7993528,2026-06-17
greenhouse,Credit & Collections Analyst,Unity Technologies,"Bengaluru, India",https://unity.com/careers/positions/7990729?gh_jid=7990729,2026-06-17
greenhouse,"Client Partner, Ads",Unity Technologies,"London, United Kingdom",https://unity.com/careers/positions/7976600?gh_jid=7976600,2026-06-10
greenhouse,"Développeur(se) Backend Sénior, Systèmes d’inférence ML  / Senior Backend Engineer, ML Inference Systems",Unity Technologies,"Montreal, Canada",https://unity.com/careers/positions/7954217?gh_jid=7954217,2026-05-22
greenhouse,Android Technical Lead,Unity Technologies,"Tel Aviv, Israel",https://unity.com/careers/positions/7893261?gh_jid=7893261,2026-05-18
greenhouse,Data Center Infrastructure and Automation Engineer,Unity Technologies,"Remote, United Kingdom",https://unity.com/careers/positions/7821677?gh_jid=7821677,2026-05-18
greenhouse,Data Centre Technician,Unity Technologies,"Slough, United Kingdom",https://unity.com/careers/positions/7822235?gh_jid=7822235,2026-05-12
greenhouse,Analyste Workday HRIS sénior  / Senior Workday HRIS Analyst,Unity Technologies,"Montreal, Canada",https://unity.com/careers/positions/7774289?gh_jid=7774289,2026-05-04
greenhouse,Développeur Back-End Sénior / Senior Back-End Developer,Unity Technologies,"Remote, Canada",https://unity.com/careers/positions/7786455?gh_jid=7786455,2026-04-08
greenhouse,Designer(e) de produit Sénior  / Senior Product Designer,Unity Technologies,"Montreal, Canada",https://unity.com/careers/positions/7293232?gh_jid=7293232,2026-03-23
greenhouse,Developer Support Engineer,Unity Technologies,"Tel Aviv, Israel",https://unity.com/careers/positions/7543658?gh_jid=7543658,2026-03-17
greenhouse,Business Development Representative (BDR) – Industry Accounts,Unity Technologies,"Seoul, South Korea",https://unity.com/careers/positions/7579419?gh_jid=7579419,2026-03-09
greenhouse,"Développeur ou développeuse généraliste (Full-Stack) sénior, Tableaux de bord Unity Ads  / Senior Full-Stack Developer, Unity Ads Dashboards",Unity Technologies,"Montreal, Canada",https://unity.com/careers/positions/7627731?gh_jid=7627731,2026-03-03
greenhouse,Business Analyst,Unity Technologies,"Tel Aviv, Israel",https://unity.com/careers/positions/7618657?gh_jid=7618657,2026-02-28
smartrecruiters,"Coordonnateur.trice principal.e, services d’hospitalité",Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000131983194,2026-06-12
smartrecruiters,"Lead, Hospitality Services",Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000131984400,2026-06-12
smartrecruiters,Artiste Animateur Senior - Manifestation d'intérêt,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000131450504,2026-06-10
smartrecruiters,Senior Animation Artist - Expression of interest,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000131450369,2026-06-10
smartrecruiters,Producteur.trice VFX - Sénior - Permanent,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000131180909,2026-06-09
smartrecruiters,VFX Producer - Senior - Permanent role,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000131179539,2026-06-09
smartrecruiters,Responsable Informatique -  Permanent - Paris,Rodeo FX,"Paris, IDF, fr",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000130834624,2026-06-08
smartrecruiters,IT Manager - Permanent - Paris,Rodeo FX,"Paris, IDF, fr",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000130835130,2026-06-08
smartrecruiters,Mid Crowd Artist - TMNT 2,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000130280649,2026-06-04
smartrecruiters,Senior Lookdev Artist - Expression of Interest,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000129507827,2026-06-01
smartrecruiters,Artiste de développement visuel Senior - Candidature Spontanée,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000129510002,2026-06-01
smartrecruiters,Analyste Financier.ère Junior,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000129251241,2026-05-29
smartrecruiters,Junior Financial Analyst,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000129251933,2026-05-29
smartrecruiters,Artiste texture Senior - Candidature Spontanée,Rodeo FX,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000129219499,2026-05-29
smartrecruiters,Senior Texture Artist - Expression of Interest,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/rodeofx/postings/744000129217370,2026-05-29
smartrecruiters,Opérateur·rice de chariot élévateur,Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000133576214,2026-06-23
smartrecruiters,Gestionnaire de projets appels d'offre,Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000133384623,2026-06-22
smartrecruiters,Producteur·rice de contenus éditoriaux et commerciaux,Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000133379300,2026-06-22
smartrecruiters,Analyste de système - Solution CCC,Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000133369630,2026-06-22
smartrecruiters,Stagiaire informatique,Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000132876979,2026-06-18
smartrecruiters,Expert System Administrator – Oracle & SQL Server DBA,Videotron,"Toronto, ON, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000132713709,2026-06-17
smartrecruiters,Administrateur·rice de système expert·e DBA Oracle & SQL Server,Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000132713219,2026-06-17
smartrecruiters,"Étudiant·e, audit interne",Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000132710287,2026-06-17
smartrecruiters,Analyste de système expert·e,Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000132705579,2026-06-17
smartrecruiters,Product Owner – Plateforme Infrastructure UNIX,Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000132657744,2026-06-17
smartrecruiters,Partenaire d'affaires colocation,Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000132651988,2026-06-17
smartrecruiters,Journaliste multifonctions,Videotron,"Rimouski, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000132276019,2026-06-15
smartrecruiters,Adjoint·e de production,Videotron,"Mirabel, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000132074869,2026-06-14
smartrecruiters,Coordonnateur·trice de production,Videotron,"Mirabel, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000132074829,2026-06-14
smartrecruiters,"Gestionnaire Déploiement, conception des réseaux filaires",Videotron,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/Videotron/postings/744000131986144,2026-06-12
smartrecruiters,"Coordonnateur.trice principal.e, services d’hospitalité",Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000131983194,2026-06-12
smartrecruiters,"Lead, Hospitality Services",Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000131984400,2026-06-12
smartrecruiters,Artiste Animateur Senior - Manifestation d'intérêt,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000131450504,2026-06-10
smartrecruiters,Senior Animation Artist - Expression of interest,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000131450369,2026-06-10
